%auto-ignore
#2D Feldman-Cousin p-values (statistical only) for AFB and FH for the decay B+->K+mumu,
# obtained from the measurements described in LHCb-PAPER-2014-007

#The q2 range for these values is 5.00 < q2 < 6.00 GeV^{2}/c^{4}

# AFB     FH   p-value
0.0675  0.305  0.02
0.0675  0.315  0.02
0.0675  0.325  0.01
0.0675  0.335  0.02
0.0675  0.345  0.01
0.0675  0.355  0.02
0.0675  0.365  0.01
0.0675  0.375  0.03
0.0675  0.385  0.01
0.0675  0.395  0.01
0.0725  0.155  0.11
0.0725  0.165  0.09
0.0725  0.175  0.06
0.0725  0.185  0.07
0.0725  0.195  0.06
0.0725  0.205  0.04
0.0725  0.215  0.06
0.0725  0.225  0.04
0.0725  0.235  0.05
0.0725  0.245  0.01
0.0725  0.255  0.01
0.0725  0.265  0.03
0.0725  0.275  0.04
0.0725  0.285  0.01
0.0725  0.295  0.01
0.0725  0.305  0.02
0.0725  0.315  0.04
0.0725  0.325  0.01
0.0725  0.335  0.02
0.0725  0.345  0.01
0.0725  0.355  0.01
0.0725  0.365  0.01
0.0725  0.385  0.01
0.0725  0.395  0.01
0.0775  0.155  0.1
0.0775  0.165  0.05
0.0775  0.175  0.09
0.0775  0.185  0.05
0.0775  0.195  0.04
0.0775  0.205  0.04
0.0775  0.215  0.05
0.0775  0.225  0.03
0.0775  0.235  0.04
0.0775  0.245  0.03
0.0775  0.255  0.05
0.0775  0.265  0.04
0.0775  0.275  0.03
0.0775  0.285  0.03
0.0775  0.295  0.03
0.0775  0.305  0.01
0.0775  0.315  0.01
0.0775  0.325  0.04
0.0775  0.335  0.02
0.0775  0.345  0.01
0.0775  0.375  0.01
0.0775  0.395  0.01
0.0825  0.165  0.07
0.0825  0.175  0.08
0.0825  0.185  0.04
0.0825  0.195  0.03
0.0825  0.205  0.04
0.0825  0.215  0.02
0.0825  0.225  0.03
0.0825  0.235  0.04
0.0825  0.245  0.02
0.0825  0.255  0.02
0.0825  0.265  0.02
0.0825  0.275  0.02
0.0825  0.285  0.02
0.0825  0.315  0.01
0.0825  0.325  0.01
0.0825  0.355  0.01
0.0825  0.375  0.01
0.0825  0.395  0.01
0.0875  0.175  0.03
0.0875  0.185  0.04
0.0875  0.195  0.03
0.0875  0.205  0.01
0.0875  0.215  0.04
0.0875  0.225  0.03
0.0875  0.235  0.01
0.0875  0.245  0.02
0.0875  0.255  0.01
0.0875  0.265  0.03
0.0875  0.275  0.01
0.0875  0.285  0.01
0.0875  0.295  0.01
0.0875  0.305  0.01
0.0875  0.325  0.01
0.0875  0.335  0.01
0.0875  0.345  0.01
0.0875  0.385  0.02
0.0875  0.395  0.01
0.0925  0.185  0.02
0.0925  0.195  0.03
0.0925  0.215  0.02
0.0925  0.225  0.01
0.0925  0.235  0.02
0.0925  0.245  0.01
0.0925  0.255  0.01
0.0925  0.275  0.01
0.0925  0.285  0.01
0.0925  0.305  0.01
0.0925  0.325  0.01
0.0925  0.345  0.01
0.0925  0.355  0.01
0.0925  0.365  0.01
0.0925  0.375  0.01
0.0925  0.395  0.01
0.0975  0.195  0.01
0.0975  0.205  0.03
0.0975  0.215  0.01
0.0975  0.225  0.01
0.0975  0.235  0.01
0.0975  0.245  0.01
0.0975  0.255  0.02
0.0975  0.265  0.01
0.0975  0.275  0.01
0.0975  0.285  0.01
0.0975  0.295  0.02
0.0975  0.315  0.01
0.0975  0.335  0.01
0.0975  0.345  0.01
0.0975  0.355  0.02
0.0975  0.365  0.01
