%auto-ignore
#2D Feldman-Cousin p-values (statistical only) for AFB and FH for the decay B+->K+mumu,
# obtained from the measurements described in LHCb-PAPER-2014-007

#The q2 range for these values is 3.00 < q2 < 4.00 GeV^{2}/c^{4}

# AFB     FH   p-value
-0.0025  0.1225  0.13
-0.0025  0.1275  0.12
-0.0025  0.1325  0.07
-0.0025  0.1375  0.11
-0.0025  0.1425  0.1
-0.0025  0.1475  0.09
-0.0025  0.1525  0.09
-0.0025  0.1575  0.03
-0.0025  0.1625  0.09
-0.0025  0.1675  0.06
-0.0025  0.1725  0.05
-0.0025  0.1775  0.04
-0.0025  0.1825  0.04
-0.0025  0.1875  0.04
-0.0025  0.1925  0.03
-0.0025  0.1975  0.0
0.0025  0.0075  0.56
0.0025  0.0125  0.59
0.0025  0.0175  0.57
0.0025  0.0225  0.54
0.0025  0.0275  0.55
0.0025  0.0325  0.44
0.0025  0.0375  0.45
0.0025  0.0425  0.34
0.0025  0.0475  0.38
0.0025  0.0525  0.37
0.0025  0.0575  0.34
0.0025  0.0625  0.35
0.0025  0.0675  0.29
0.0025  0.0725  0.2
0.0025  0.0775  0.2
0.0025  0.0825  0.22
0.0025  0.0875  0.21
0.0025  0.0925  0.16
0.0025  0.0975  0.22
0.0025  0.1025  0.16
0.0025  0.1075  0.17
0.0025  0.1125  0.14
0.0025  0.1175  0.07
0.0025  0.1225  0.18
0.0025  0.1275  0.1
0.0025  0.1325  0.09
0.0025  0.1375  0.08
0.0025  0.1425  0.11
0.0025  0.1475  0.06
0.0025  0.1525  0.05
0.0025  0.1575  0.08
0.0025  0.1625  0.09
0.0025  0.1675  0.06
0.0025  0.1725  0.03
0.0025  0.1775  0.07
0.0025  0.1825  0.04
0.0025  0.1875  0.02
0.0025  0.1925  0.06
0.0025  0.1975  0.04
0.0075  0.0175  0.44
0.0075  0.0225  0.46
0.0075  0.0275  0.43
0.0075  0.0325  0.37
0.0075  0.0375  0.35
0.0075  0.0425  0.35
0.0075  0.0475  0.33
0.0075  0.0525  0.31
0.0075  0.0575  0.24
0.0075  0.0625  0.31
0.0075  0.0675  0.23
0.0075  0.0725  0.22
0.0075  0.0775  0.22
0.0075  0.0825  0.23
0.0075  0.0875  0.23
0.0075  0.0925  0.19
0.0075  0.0975  0.12
0.0075  0.1025  0.12
0.0075  0.1075  0.17
0.0075  0.1125  0.11
0.0075  0.1175  0.09
0.0075  0.1225  0.13
0.0075  0.1275  0.1
0.0075  0.1325  0.12
0.0075  0.1375  0.07
0.0075  0.1425  0.06
0.0075  0.1475  0.06
0.0075  0.1525  0.09
0.0075  0.1575  0.07
0.0075  0.1625  0.06
0.0075  0.1675  0.05
0.0075  0.1725  0.05
0.0075  0.1775  0.06
0.0075  0.1825  0.05
0.0075  0.1875  0.03
0.0075  0.1925  0.03
0.0075  0.1975  0.03
0.0125  0.0275  0.38
0.0125  0.0325  0.35
0.0125  0.0375  0.32
0.0125  0.0425  0.31
0.0125  0.0475  0.32
0.0125  0.0525  0.27
0.0125  0.0575  0.25
0.0125  0.0625  0.29
0.0125  0.0675  0.23
0.0125  0.0725  0.2
0.0125  0.0775  0.19
0.0125  0.0825  0.22
0.0125  0.0875  0.2
0.0125  0.0925  0.17
0.0125  0.0975  0.15
0.0125  0.1025  0.14
0.0125  0.1075  0.14
0.0125  0.1125  0.13
0.0125  0.1175  0.11
0.0125  0.1225  0.08
0.0125  0.1275  0.09
0.0125  0.1325  0.12
0.0125  0.1375  0.07
0.0125  0.1425  0.09
0.0125  0.1475  0.07
0.0125  0.1525  0.05
0.0125  0.1575  0.05
0.0125  0.1625  0.05
0.0125  0.1675  0.05
0.0125  0.1725  0.02
0.0125  0.1775  0.04
0.0125  0.1825  0.05
0.0125  0.1875  0.05
0.0125  0.1925  0.04
0.0125  0.1975  0.04
0.0175  0.0375  0.29
0.0175  0.0425  0.28
0.0175  0.0475  0.25
0.0175  0.0525  0.28
0.0175  0.0575  0.25
0.0175  0.0625  0.16
0.0175  0.0675  0.24
0.0175  0.0725  0.19
0.0175  0.0775  0.19
0.0175  0.0825  0.16
0.0175  0.0875  0.14
0.0175  0.0925  0.19
0.0175  0.0975  0.14
0.0175  0.1025  0.1
0.0175  0.1075  0.11
0.0175  0.1125  0.1
0.0175  0.1175  0.1
0.0175  0.1225  0.09
0.0175  0.1275  0.07
0.0175  0.1325  0.07
0.0175  0.1375  0.08
0.0175  0.1425  0.09
0.0175  0.1475  0.05
0.0175  0.1525  0.04
0.0175  0.1575  0.08
0.0175  0.1625  0.04
0.0175  0.1675  0.05
0.0175  0.1725  0.05
0.0175  0.1775  0.04
0.0175  0.1825  0.05
0.0175  0.1875  0.05
0.0175  0.1925  0.02
0.0175  0.1975  0.03
0.0225  0.0475  0.27
0.0225  0.0525  0.25
0.0225  0.0575  0.17
0.0225  0.0625  0.19
0.0225  0.0675  0.16
0.0225  0.0725  0.2
0.0225  0.0775  0.21
0.0225  0.0825  0.17
0.0225  0.0875  0.16
0.0225  0.0925  0.14
0.0225  0.0975  0.13
0.0225  0.1025  0.14
0.0225  0.1075  0.1
0.0225  0.1125  0.09
0.0225  0.1175  0.12
0.0225  0.1225  0.12
0.0225  0.1275  0.12
0.0225  0.1325  0.09
0.0225  0.1375  0.06
0.0225  0.1425  0.03
0.0225  0.1475  0.08
0.0225  0.1525  0.08
0.0225  0.1575  0.05
0.0225  0.1625  0.06
0.0225  0.1675  0.05
0.0225  0.1725  0.04
0.0225  0.1775  0.03
0.0225  0.1825  0.03
0.0225  0.1875  0.03
0.0225  0.1925  0.03
0.0225  0.1975  0.03
0.0275  0.0575  0.2
0.0275  0.0625  0.19
0.0275  0.0675  0.19
0.0275  0.0725  0.17
0.0275  0.0775  0.13
0.0275  0.0825  0.13
0.0275  0.0875  0.14
0.0275  0.0925  0.12
0.0275  0.0975  0.13
0.0275  0.1025  0.11
0.0275  0.1075  0.08
0.0275  0.1125  0.09
0.0275  0.1175  0.05
0.0275  0.1225  0.05
0.0275  0.1275  0.09
0.0275  0.1325  0.09
0.0275  0.1375  0.06
0.0275  0.1425  0.08
0.0275  0.1475  0.06
0.0275  0.1525  0.05
0.0275  0.1575  0.08
0.0275  0.1625  0.05
0.0275  0.1675  0.03
0.0275  0.1725  0.06
0.0275  0.1775  0.04
0.0275  0.1825  0.03
0.0275  0.1875  0.03
0.0275  0.1925  0.03
0.0275  0.1975  0.01
0.0325  0.0675  0.16
0.0325  0.0725  0.13
0.0325  0.0775  0.16
0.0325  0.0825  0.17
0.0325  0.0875  0.13
0.0325  0.0925  0.09
0.0325  0.0975  0.09
0.0325  0.1025  0.12
0.0325  0.1075  0.06
0.0325  0.1125  0.09
0.0325  0.1175  0.08
0.0325  0.1225  0.08
0.0325  0.1275  0.06
0.0325  0.1325  0.06
0.0325  0.1375  0.1
0.0325  0.1425  0.05
0.0325  0.1475  0.04
0.0325  0.1525  0.03
0.0325  0.1575  0.05
0.0325  0.1625  0.04
0.0325  0.1675  0.02
0.0325  0.1725  0.04
0.0325  0.1775  0.04
0.0325  0.1825  0.03
0.0325  0.1875  0.01
0.0325  0.1925  0.01
0.0325  0.1975  0.03
0.0375  0.0775  0.11
0.0375  0.0825  0.1
0.0375  0.0875  0.12
0.0375  0.0925  0.09
0.0375  0.0975  0.09
0.0375  0.1025  0.05
0.0375  0.1075  0.09
0.0375  0.1125  0.09
0.0375  0.1175  0.06
0.0375  0.1225  0.08
0.0375  0.1275  0.05
0.0375  0.1325  0.06
0.0375  0.1375  0.05
0.0375  0.1425  0.05
0.0375  0.1475  0.04
0.0375  0.1525  0.03
0.0375  0.1575  0.05
0.0375  0.1625  0.03
0.0375  0.1675  0.05
0.0375  0.1725  0.03
0.0375  0.1775  0.03
0.0375  0.1825  0.02
0.0375  0.1875  0.03
0.0375  0.1925  0.03
0.0375  0.1975  0.0
0.0425  0.0875  0.08
0.0425  0.0925  0.05
0.0425  0.0975  0.1
0.0425  0.1025  0.03
0.0425  0.1075  0.05
0.0425  0.1125  0.09
0.0425  0.1175  0.05
0.0425  0.1225  0.09
0.0425  0.1275  0.03
0.0425  0.1325  0.07
0.0425  0.1375  0.03
0.0425  0.1425  0.05
0.0425  0.1475  0.05
0.0425  0.1525  0.04
0.0425  0.1575  0.03
0.0425  0.1625  0.03
0.0425  0.1675  0.01
0.0425  0.1725  0.05
0.0425  0.1775  0.04
0.0425  0.1825  0.03
0.0425  0.1875  0.01
0.0425  0.1925  0.01
0.0425  0.1975  0.04
0.0475  0.0975  0.1
0.0475  0.1025  0.06
0.0475  0.1075  0.08
0.0475  0.1125  0.05
0.0475  0.1175  0.05
0.0475  0.1225  0.03
0.0475  0.1275  0.08
0.0475  0.1325  0.04
0.0475  0.1375  0.03
0.0475  0.1425  0.03
0.0475  0.1475  0.04
0.0475  0.1525  0.03
0.0475  0.1575  0.05
0.0475  0.1625  0.05
0.0475  0.1675  0.05
0.0475  0.1725  0.04
0.0475  0.1775  0.01
0.0475  0.1825  0.02
0.0475  0.1875  0.01
0.0475  0.1925  0.01
0.0475  0.1975  0.01
0.0525  0.1075  0.09
0.0525  0.1125  0.06
0.0525  0.1175  0.07
0.0525  0.1225  0.05
0.0525  0.1275  0.04
0.0525  0.1325  0.06
0.0525  0.1375  0.02
0.0525  0.1425  0.02
0.0525  0.1475  0.05
0.0525  0.1525  0.03
0.0525  0.1575  0.02
0.0525  0.1625  0.02
0.0525  0.1675  0.01
0.0525  0.1725  0.03
0.0525  0.1775  0.01
0.0525  0.1825  0.0
0.0525  0.1925  0.02
0.0525  0.1975  0.01
0.0575  0.1175  0.05
0.0575  0.1225  0.05
0.0575  0.1275  0.01
0.0575  0.1325  0.05
0.0575  0.1375  0.03
0.0575  0.1425  0.02
0.0575  0.1475  0.05
0.0575  0.1525  0.01
0.0575  0.1575  0.01
0.0575  0.1625  0.02
0.0575  0.1675  0.03
0.0575  0.1725  0.02
0.0575  0.1775  0.01
0.0575  0.1825  0.01
0.0575  0.1875  0.01
0.0575  0.1925  0.03
0.0575  0.1975  0.02
0.0625  0.1275  0.05
0.0625  0.1325  0.03
0.0625  0.1375  0.02
0.0625  0.1425  0.04
0.0625  0.1475  0.01
0.0625  0.1525  0.02
0.0625  0.1575  0.02
0.0625  0.1625  0.02
0.0625  0.1675  0.02
0.0625  0.1725  0.0
0.0625  0.1825  0.01
0.0625  0.1875  0.0
0.0625  0.1925  0.0
0.0625  0.1975  0.03
0.0675  0.1375  0.05
0.0675  0.1425  0.04
0.0675  0.1475  0.04
0.0675  0.1525  0.0
0.0675  0.1575  0.0
0.0675  0.1625  0.0
0.0675  0.1675  0.02
0.0675  0.1775  0.01
0.0675  0.1825  0.01
0.0675  0.1875  0.0
0.0675  0.1925  0.03
0.0675  0.1975  0.02
0.0725  0.1475  0.01
0.0725  0.1525  0.01
0.0725  0.1575  0.01
0.0725  0.1625  0.0
0.0725  0.1725  0.0
0.0725  0.1775  0.01
0.0725  0.1875  0.0
0.0725  0.1925  0.01
0.0725  0.1975  0.01
0.0775  0.1575  0.01
0.0775  0.1625  0.01
0.0775  0.1725  0.02
0.0775  0.1775  0.01
0.0775  0.1825  0.0
0.0775  0.1875  0.01
0.0775  0.1975  0.01
0.0825  0.1675  0.02
0.0825  0.1725  0.0
0.0825  0.1875  0.01
0.0825  0.1975  0.0
0.0875  0.1775  0.01
0.0875  0.1825  0.01
0.0875  0.1875  0.01
0.0875  0.1975  0.01
0.0925  0.1925  0.0
